Year,Team,ORtg,DRtg,NRtg
2023,Denver Nuggets*,0.8235294117647047,0.3829787234042552,0.8098159509202455
2022,Milwaukee Bucks*,0.8688524590163933,0.48999999999999844,0.7469879518072289
2021,Golden State Warriors,0.5135135135135132,0.2970297029702973,0.5808080808080808
2020,Los Angeles Lakers*,0.5913043478260871,0.2698412698412689,0.7900552486187844
2019,Toronto Raptors*,0.754385964912279,0.1532258064516121,0.8594594594594596
2018,Golden State Warriors*,0.9017857142857135,0.41573033707865115,0.8547486033519553
2017,Golden State Warriors*,1.0,0.05263157894736814,0.9999999999999998
2016,Cleveland Cavaliers*,0.7707006369426752,0.43650793650793673,0.7741935483870968
2015,Golden State Warriors*,0.9526627218934909,0.0,1.0
2014,San Antonio Spurs*,0.8740157480314963,0.24800000000000022,0.9999999999999999
2013,Miami Heat*,0.9918032786885256,0.3333333333333339,0.9393939393939394
2012,Miami Heat*,0.7261146496815281,0.16393442622950793,0.8888888888888891
2011,Dallas Mavericks*,0.7570093457943923,0.3730158730158726,0.8033707865168541
2010,Los Angeles Lakers*,0.5578231292517009,0.08653846153846168,0.8333333333333333
2009,Los Angeles Lakers*,0.9051724137931032,0.21875,0.9020618556701032
2008,Boston Celtics*,0.7293233082706765,0.0,0.9999999999999999
2007,San Antonio Spurs*,0.5727272727272723,0.023622047244095334,0.9999999999999999
2006,Miami Heat*,0.7102803738317753,0.3310810810810807,0.8108108108108109
2005,San Antonio Spurs*,0.5270270270270272,0.0,1.0
2004,Detroit Pistons*,0.34838709677419377,0.07975460122699474,0.9050632911392403
2003,San Antonio Spurs*,0.724324324324324,0.14035087719298467,0.8655913978494623
2002,Los Angeles Lakers*,0.7999999999999998,0.2417582417582409,0.9884393063583816
2001,Los Angeles Lakers*,0.9655172413793114,0.6938775510204067,0.7326203208556149
2000,Los Angeles Lakers*,0.9160839160839158,0.0,1.0000000000000002
1999,San Antonio Spurs*,0.7116564417177909,0.0,0.9999999999999999
1998,Chicago Bulls*,0.7041420118343193,0.05384615384615454,0.9859154929577465
