Year,Team,ORtg,DRtg,NRtg
1998,Los Angeles Lakers*,111.9,103.7,+8.2
1998,Seattle SuperSonics*,111.6,103.6,+8.0
1998,Chicago Bulls*,107.7,99.8,+7.9
1998,Utah Jazz*,112.7,105.4,+7.3
1998,Indiana Pacers*,108.4,101.6,+6.8
1998,Phoenix Suns*,107.4,101.8,+5.6
1998,Miami Heat*,107.6,102.0,+5.6
1998,San Antonio Spurs*,103.8,99.4,+4.4
1998,Atlanta Hawks*,108.2,104.3,+3.9
1998,Cleveland Cavaliers*,102.2,99.1,+3.1
1998,New York Knicks*,103.0,100.3,+2.7
1998,Charlotte Hornets*,107.5,105.3,+2.2
1998,Detroit Pistons,105.3,103.5,+1.8
1998,New Jersey Nets*,108.3,106.6,+1.7
1998,Portland Trail Blazers*,104.0,102.4,+1.6
1998,Washington Wizards,105.2,104.5,+0.7
1998,Minnesota Timberwolves*,107.8,107.1,+0.7
1998,Houston Rockets*,107.7,108.6,-0.9
1998,Orlando Magic,102.6,103.8,-1.2
1998,Milwaukee Bucks,103.5,105.6,-2.1
1998,Philadelphia 76ers,102.8,105.4,-2.6
1998,Boston Celtics,102.6,105.4,-2.8
1998,Sacramento Kings,100.8,106.9,-6.1
1998,Dallas Mavericks,100.5,107.2,-6.7
1998,Los Angeles Clippers,103.3,111.2,-7.9
1998,Vancouver Grizzlies,104.1,112.0,-7.9
1998,Toronto Raptors,101.2,111.0,-9.8
1998,Golden State Warriors,95.8,105.7,-9.9
1998,Denver Nuggets,99.0,112.1,-13.1
1998,League Average,105.0,105.0,
1999,San Antonio Spurs*,104.0,95.0,+9.0
1999,Utah Jazz*,105.8,98.4,+7.4
1999,Portland Trail Blazers*,104.8,97.7,+7.1
1999,Miami Heat*,104.7,98.9,+5.8
1999,Indiana Pacers*,108.7,104.4,+4.3
1999,Detroit Pistons*,104.2,100.3,+3.9
1999,Atlanta Hawks*,100.5,97.1,+3.4
1999,Los Angeles Lakers*,107.6,104.3,+3.3
1999,Orlando Magic*,100.3,97.4,+2.9
1999,Houston Rockets*,105.4,102.9,+2.5
1999,Phoenix Suns*,105.8,103.3,+2.5
1999,Philadelphia 76ers*,99.9,97.6,+2.3
1999,Milwaukee Bucks*,104.9,103.0,+1.9
1999,New York Knicks*,98.6,97.5,+1.1
1999,Minnesota Timberwolves*,101.9,101.5,+0.4
1999,Charlotte Hornets,102.3,102.4,-0.1
1999,Sacramento Kings*,102.7,103.1,-0.4
1999,Seattle SuperSonics,105.0,106.2,-1.2
1999,Toronto Raptors,102.0,103.9,-1.9
1999,Boston Celtics,100.4,102.4,-2.0
1999,Cleveland Cavaliers,99.6,101.6,-2.0
1999,Washington Wizards,101.2,103.7,-2.5
1999,Dallas Mavericks,102.3,104.9,-2.6
1999,Golden State Warriors,98.4,101.1,-2.7
1999,New Jersey Nets,99.5,103.6,-4.1
1999,Denver Nuggets,103.1,110.4,-7.3
1999,Vancouver Grizzlies,98.4,107.9,-9.5
1999,Los Angeles Clippers,100.0,109.7,-9.7
1999,Chicago Bulls,92.4,103.0,-10.6
1999,League Average,102.2,102.2,
2000,Los Angeles Lakers*,107.3,98.2,+9.1
2000,Portland Trail Blazers*,107.9,100.8,+7.1
2000,San Antonio Spurs*,105.0,98.6,+6.4
2000,Phoenix Suns*,104.6,99.0,+5.6
2000,Utah Jazz*,107.3,102.3,+5.0
2000,Indiana Pacers*,108.5,103.6,+4.9
2000,Miami Heat*,104.5,101.0,+3.5
2000,Sacramento Kings*,105.0,102.1,+2.9
2000,Charlotte Hornets*,104.3,101.4,+2.9
2000,Minnesota Timberwolves*,106.1,103.4,+2.7
2000,New York Knicks*,102.5,100.9,+1.6
2000,Detroit Pistons*,107.3,105.8,+1.5
2000,Philadelphia 76ers*,101.5,100.0,+1.5
2000,Seattle SuperSonics*,105.6,104.6,+1.0
2000,Orlando Magic,102.4,101.7,+0.7
2000,Milwaukee Bucks*,108.2,107.9,+0.3
2000,Toronto Raptors*,104.7,104.9,-0.2
2000,Dallas Mavericks,106.6,107.2,-0.6
2000,Boston Celtics,104.8,105.6,-0.8
2000,Houston Rockets,104.8,105.7,-0.9
2000,New Jersey Nets,105.1,106.3,-1.2
2000,Denver Nuggets,103.5,105.8,-2.3
2000,Washington Wizards,103.5,107.0,-3.5
2000,Cleveland Cavaliers,100.4,104.0,-3.6
2000,Atlanta Hawks,102.0,107.9,-5.9
2000,Vancouver Grizzlies,102.3,108.5,-6.2
2000,Golden State Warriors,99.8,108.4,-8.6
2000,Chicago Bulls,94.2,104.6,-10.4
2000,Los Angeles Clippers,97.8,110.1,-12.3
2000,League Average,104.1,104.1,
