Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,year
Jimmy Butler,33,5,5,205,.511,.451,4.8,9.1,6.7,27.5,1.2,1.3,5.4,25.2,114,118,17.6,2023
Gabe Vincent,26,5,5,142,.494,.473,0.7,0.9,0.8,14.4,1.9,0.7,6.5,20.1,96,119,6.5,2023
Kyle Lowry,36,5,0,146,.614,.563,2.0,14.2,7.3,26.5,1.8,0.6,17.0,16.7,115,115,9.6,2023
Duncan Robinson,28,5,0,94,.641,.650,0.0,7.7,3.4,14.9,0.6,1.8,11.6,16.9,107,119,5.0,2023
Caleb Martin,27,5,1,142,.453,.438,4.9,14.7,9.1,7.0,1.9,2.0,12.8,15.2,89,114,4.7,2023
Max Strus,26,5,5,125,.324,.302,3.1,20.2,10.7,17.8,0.4,2.1,2.2,16.9,84,116,4.0,2023
Kevin Love,34,4,4,71,.552,.542,5.5,29.7,16.5,2.0,2.3,2.4,0.0,16.3,113,112,5.9,2023
Haywood Highsmith,26,5,0,35,.827,.800,6.5,6.7,6.5,0.0,3.0,2.6,8.4,15.6,146,111,3.0,2023
Cody Zeller,30,5,0,27,.500,.500,6.7,14.7,10.4,5.1,0.0,3.5,33.3,10.5,69,121,0.3,2023
Udonis Haslem,42,1,0,0,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,0,129,-0.7,2023
Nikola Jović,19,2,0,2,.000,.000,0.0,26.2,26.2,0.0,0.0,0.0,0.0,22.5,0,118,-0.2,2023
Omer Yurtseven,24,2,0,2,.000,.000,51.3,0.0,31.0,0.0,0.0,0.0,0.0,27.1,62,126,0.0,2023
Team Totals,28.4,5,,1200,.509,.473,20.3,76.1,44.8,64.2,6.2,7.8,8.7,,106.4,115.5,,2023
Jamal Murray,25,5,5,211,.551,.516,3.2,12.0,8.1,37.7,1.3,0.0,14.9,25.7,113,109,18.0,2023
Aaron Gordon,27,5,5,178,.641,.656,6.5,16.7,12.0,13.4,1.2,1.5,5.2,15.6,133,108,13.5,2023
Bruce Brown,26,5,0,134,.561,.533,4.4,13.9,9.5,6.2,2.0,2.6,13.6,20.9,101,106,8.2,2023
